dist_km,epoch,loss,s2_loss,step,text_loss
9657.291015625,0,4.950088977813721,4.9320068359375,4899,0.036163948476314545
9803.2265625,0,5.937360763549805,5.898761749267578,4909,0.07719802856445312
10120.18359375,0,5.207618713378906,5.165802001953125,4919,0.0836331769824028
10037.9453125,0,4.034326076507568,3.991016387939453,4929,0.08661948144435883
9034.349609375,0,6.858832836151123,6.776405334472656,4939,0.16485506296157837
10776.896484375,0,3.7781732082366943,3.7206859588623047,4949,0.11497428268194199
10564.486328125,0,4.50153112411499,4.450008392333984,4959,0.10304528474807739
10050.275390625,0,3.464386463165283,3.4047889709472656,4969,0.11919490993022919
10318.51953125,0,3.781266927719116,3.7359580993652344,4979,0.0906175971031189
9975.255859375,0,4.814784526824951,4.781944274902344,4989,0.06568080186843872
10264.67578125,0,5.747600555419922,5.721282958984375,4999,0.052635010331869125
9363.9375,0,4.901915550231934,4.869783401489258,5009,0.06426414102315903
9224.296875,0,4.490042209625244,4.446271896362305,5019,0.08754076808691025
9622.78515625,0,4.786229133605957,4.734947204589844,5029,0.10256381332874298
11008.87890625,0,4.974732875823975,4.928836822509766,5039,0.09179256111383438
9910.0078125,0,5.32379150390625,5.275154113769531,5049,0.0972752571105957
10135.005859375,0,4.072223663330078,4.037693023681641,5059,0.06906111538410187
10293.96875,0,4.799332141876221,4.762474060058594,5069,0.0737156942486763
10712.572265625,0,3.9481940269470215,3.910999298095703,5079,0.07438942790031433
10043.720703125,0,4.386519432067871,4.347858428955078,5089,0.077321857213974
8665.078125,0,4.637996196746826,4.60821533203125,5099,0.059561748057603836
10407.767578125,0,4.283097743988037,4.253503799438477,5109,0.05918780341744423
10527.77734375,0,6.4114885330200195,6.38720703125,5119,0.048562753945589066
9953.70703125,0,5.216117858886719,5.193389892578125,5129,0.045455582439899445
10025.189453125,0,6.3430070877075195,6.319557189941406,5139,0.046899423003196716
9397.771484375,0,3.5584909915924072,3.5341110229492188,5149,0.04875971004366875
9557.2333984375,0,5.484426498413086,5.4611053466796875,5159,0.04664197564125061
9547.373046875,0,3.5855536460876465,3.5583419799804688,5169,0.05442342907190323
10283.1796875,0,6.244007110595703,6.219478607177734,5179,0.049057237803936005
10567.220703125,0,3.937335252761841,3.9157943725585938,5189,0.043081820011138916
9841.966796875,0,4.632096290588379,4.613639831542969,5199,0.03691308945417404
9564.27734375,0,4.555898189544678,4.537223815917969,5209,0.037348296493291855
9595.712890625,0,5.913620471954346,5.893257141113281,5219,0.040726594626903534
9515.84765625,0,5.67200231552124,5.6531219482421875,5229,0.03776075318455696
10150.80859375,0,4.12423038482666,4.104728698730469,5239,0.03900359570980072
10090.7353515625,0,4.710056781768799,4.692470550537109,5249,0.03517235070466995
9728.859375,0,5.194595813751221,5.175567626953125,5259,0.038056209683418274
10788.791015625,0,5.216324329376221,5.196666717529297,5269,0.039315126836299896
8722.3486328125,0,2.864759683609009,2.846456527709961,5279,0.036606140434741974
8572.7177734375,0,5.575212478637695,5.559059143066406,5289,0.03230699151754379
10238.375,0,6.016383171081543,5.999732971191406,5299,0.03330082446336746
9874.35546875,0,4.609208106994629,4.592517852783203,5309,0.03338010609149933
9644.681640625,0,4.391517639160156,4.373401641845703,5319,0.0362321138381958
10325.75390625,0,5.61726713180542,5.60076904296875,5329,0.03299590200185776
10885.728515625,0,4.095206260681152,4.080076217651367,5339,0.03025970421731472
8418.51171875,0,4.619104385375977,4.60369873046875,5349,0.030811024829745293
9542.15234375,0,5.322879791259766,5.306159973144531,5359,0.03343920782208443
10612.794921875,0,4.811451435089111,4.795154571533203,5369,0.03259410336613655
9352.685546875,0,5.971459865570068,5.955192565917969,5379,0.03253442049026489
11223.9013671875,0,4.896188735961914,4.879692077636719,5389,0.03299283981323242
9733.572265625,0,5.722424507141113,5.705726623535156,5399,0.03339611738920212
9577.1376953125,0,4.297167778015137,4.278785705566406,5409,0.036764390766620636
9689.0380859375,0,4.70518684387207,4.686256408691406,5419,0.037860602140426636
9661.9609375,0,5.72056770324707,5.705421447753906,5429,0.030292460694909096
9633.794921875,0,7.036509990692139,7.02197265625,5439,0.029074253514409065
10513.376953125,0,4.823790550231934,4.8076019287109375,5449,0.03237716108560562
9389.169921875,0,5.167423248291016,5.151786804199219,5459,0.031272709369659424
9506.0703125,0,4.55289888381958,4.535503387451172,5469,0.03479144722223282
10948.689453125,0,5.453090190887451,5.423740386962891,5479,0.058699946850538254
11001.1396484375,0,6.595382213592529,6.5461578369140625,5489,0.09844917058944702
9540.302734375,0,6.376471519470215,6.3400726318359375,5499,0.0727982297539711
9999.8271484375,0,6.609225273132324,6.578712463378906,5509,0.06102608144283295
9746.802734375,0,6.405958652496338,6.3750152587890625,5519,0.061886973679065704
11184.6904296875,0,5.825170516967773,5.795066833496094,5529,0.060207098722457886
10255.71875,0,5.501379489898682,5.477325439453125,5539,0.04810841381549835
10658.689453125,0,6.678367614746094,6.654460906982422,5549,0.04781336337327957
9528.04296875,0,5.8069610595703125,5.785789489746094,5559,0.04234357923269272
7952.36376953125,0,5.804882526397705,5.787849426269531,5569,0.034066084772348404
11751.9501953125,0,6.632012367248535,6.615550994873047,5579,0.032922789454460144
9108.923828125,0,6.46651029586792,6.4534454345703125,5589,0.026129979640245438
10336.4111328125,0,5.975183486938477,5.9612579345703125,5599,0.027850857004523277
9924.9130859375,0,6.0842204093933105,6.0713958740234375,5609,0.025649039074778557
8785.951171875,0,5.72376823425293,5.712409973144531,5619,0.022716563194990158
9880.7314453125,0,6.161015033721924,6.150424957275391,5629,0.021180449053645134
9696.310546875,0,5.892506122589111,5.880802154541016,5639,0.02340816892683506
10224.83984375,0,5.541803359985352,5.530853271484375,5649,0.021900372579693794
9490.455078125,0,5.454588413238525,5.445411682128906,5659,0.018353033810853958
9515.76171875,0,5.785691261291504,5.7770843505859375,5669,0.01721377857029438
10490.3681640625,0,6.374558925628662,6.364360809326172,5679,0.020396078005433083
9838.595703125,0,5.989753246307373,5.980823516845703,5689,0.017859244719147682
10105.2373046875,0,6.011141777038574,6.0032501220703125,5699,0.015783222392201424
9604.083984375,0,5.420702934265137,5.412391662597656,5709,0.016622323542833328
9334.279296875,0,5.176718711853027,5.167545318603516,5719,0.018346495926380157
10524.111328125,0,4.693665981292725,4.684059143066406,5729,0.01921352557837963
